Data,Investimenti ammessi,Detrazione a fine lavori,Quota mensile,Delta,Note
31/08/2021,"5.685.136.399,19","6.253.650.039,11","6.253.650.039,11","568.513.639,92",
30/09/2021,"7.495.428.322,63","8.244.971.154,89","1.991.321.115,78","749.542.832,26",
31/10/2021,"9.741.463.273,79","10.715.609.601,17","2.470.638.446,28","974.146.327,38",
30/11/2021,"11.936.000.616,14","13.129.600.677,75","2.413.991.076,58","1.193.600.061,61",
31/12/2021,"16.204.348.017,13","17.824.782.818,84","4.695.182.141,09","1.620.434.801,71",
31/01/2022,"18.332.659.040,86","20.165.924.944,95","2.341.142.126,11","1.833.265.904,09",
28/02/2022,"21.144.508.224,72","23.258.959.047,19","3.093.034.102,24","2.114.450.822,47",
31/03/2022,"24.227.558.784,03","26.650.314.662,43","3.391.355.615,24","2.422.755.878,40",
30/04/2022,"27.446.194.587,41","30.190.814.046,15","3.540.499.383,72","2.744.619.458,74",
31/05/2022,"30.647.939.180,47","33.712.733.098,52","3.521.919.052,37","3.064.793.918,05",
30/06/2022,"35.211.032.435,70","38.732.135.679,27","5.019.402.580,75","3.521.103.243,57",
31/07/2022,"39.751.985.269,42","43.727.183.796,36","4.995.048.117,09","3.975.198.526,94",
31/08/2022,"43.018.493.039,02","47.320.342.342,92","3.593.158.546,56","4.301.849.303,90",
30/09/2022,"51.212.808.110,84","56.334.088.921,92","9.013.746.579,00","5.121.280.811,08",
31/10/2022,"55.025.068.368,87","60.527.575.205,76","4.193.486.283,84","5.502.506.836,89",
30/11/2022,"58.112.523.439,14","63.923.775.783,05","3.396.200.577,29","5.811.252.343,91",
31/12/2022,"62.493.729.809,17","68.743.102.790,09","4.819.327.007,04","6.249.372.980,92",
31/01/2023,"65.239.761.123,23","71.763.737.235,55","3.020.634.445,46","6.523.976.112,32",
28/02/2023,"68.523.203.828,03","75.375.524.210,83","3.611.786.975,28","6.852.320.382,80",
31/03/2023,"72.751.560.058,19","80.026.716.064,01","4.651.191.853,18","7.275.156.005,82",
30/04/2023,"74.613.779.029,81","82.075.156.932,79","2.048.440.868,78","7.461.377.902,98",Questo mese smettono di pubblicare il dato relativo alle detrazioni a fine lavori
31/05/2023,"77.057.998.817,16","84.763.798.698,88","2.688.641.766,08","7.705.799.881,72",
30/06/2023,"79.949.374.412,31","87.944.311.853,54","3.180.513.154,66","7.994.937.441,23",
31/07/2023,"82.996.932.879,77","91.296.626.167,75","3.352.314.314,21","8.299.693.287,98",
31/08/2023,"85.001.793.728,62","93.501.973.101,48","2.205.346.933,73","8.500.179.372,86",
30/09/2023,"88.170.847.343,86","96.987.932.078,25","3.485.958.976,76","8.817.084.734,39",
31/10/2023,"92.427.298.389,30","101.670.028.228,23","4.682.096.149,98","9.242.729.838,93",
30/11/2023,"96.760.044.194,24","106.436.048.613,66","4.766.020.385,43","9.676.004.419,42",
31/12/2023,"102.681.680.368,29","112.949.848.405,12","6.513.799.791,45","10.268.168.036,83",
31/01/2024,"107.048.538.665,29","117.753.392.531,82","4.803.544.126,70","10.704.853.866,53",
28/02/2024,"111.557.714.400,40","122.713.485.840,44","4.960.093.308,62","11.155.771.440,04",
30/03/2024,"117.243.795.843,05","128.968.175.427,36","6.254.689.586,92","11.724.379.584,31",